sender_username,receiver_username,message,channel
@bogoman,@helloworld,how are you doing?,instagram
@helloworld,@bogoman,im doing fine,instagram
@ashdev,@meowcat,do you ship internationally?,facebook
@meowcat,@ashdev,yes we do,facebook
@johndoe,@alicesmith,Hey how are you? I wanted to ask about the product specifications.,whatsapp
@emilyjohnson,@charliebrown,Hi! I was wondering about the product availability. Can you let me know if it's currently in stock?,instagram
@michaelbrown,@davidwilson,Hi there! I have a question regarding the order status of my recent purchase. Can you please provide an update?,email
@sarahdavis,@emmataylor,Hello! I need some assistance with the return policy. Can you guide me through the process?,whatsapp
@davidwilson,@frankmiller,Hi I'm experiencing some issues and require technical support. Could you help me resolve them?,facebook
@jessicathomas,@gracethomas,Hey I'm interested in the latest discounts and promotions. Can you share any ongoing offers?,instagram
@andrewtaylor,@henrysmith,Hello I'm looking for detailed product specifications for a particular item. Can you provide them please?,email
@oliviaclark,@isaacadams,Hi! I'd like to share my customer feedback and testimonials about your products and services. How can I proceed?,whatsapp
@daniellee,@jackharris,Hey there! Just wanted to check in and see how are you doing. Hope everything is going well!,facebook
@sophiawright,@katherineyoung,Hello! I'm interested in making an international purchase. do you ship internationally?,instagram
@ethanhall,@lilybaker,Hi I'd like to know the product availability of a specific item. Can you provide the current stock status?,email
@miabaker,@matthewgonzalez,Hi! Can you please provide an update on the order status of my recent purchase?,whatsapp
@jamesgonzalez,@noraharris,Hello! I'd like to inquire about your return policy. What is the process for returning a product?,facebook
@charlotteharris,@oliverscott,Hi I'm facing some technical issues and require technical support. Could you assist me in resolving them?,instagram
@benjaminyoung,@penelopeking,Hey are there any ongoing discounts and promotions that I can take advantage of?,email
@avaking,@quinnwalker,Hello I'm interested in the product specifications of a particular item. Can you provide the detailed specifications?,whatsapp
@ameliascott,@samuelcampbell,Hey there! Just checking in to see how are you doing. Hope everything is going great on your end!,instagram
@sebastiangreen,@tayloradams,Hello! I'm looking to make an international purchase. do you ship internationally?,email
@lilyadams,@victormiller,Hi can you please provide me with the product availability details for a specific item? I'm interested in making a purchase.,whatsapp
